model_name,theta,eval_mode,success_rate_on_baseline,retrieval_degradation,retrieval_cost_ms
Llama-2-7B,20,semantic,0.0,1.0,1205.2075068155925
Llama-2-7B,30,semantic,0.6666666666666666,0.33333333333333337,1203.089952468872
Llama-2-7B,40,semantic,1.0,0.0,1206.573247909546
Llama-2-7B,50,semantic,1.0,0.0,1209.0362707773845
Llama-2-13B,20,semantic,0.0,1.0,1588.3874893188477
Llama-2-13B,30,semantic,0.25,0.75,1602.606475353241
Llama-2-13B,40,semantic,1.0,0.0,1601.8229722976685
Llama-2-13B,50,semantic,1.0,0.0,1604.9658060073853
Llama-2-7B-4bit,20,semantic,0.0,1.0,1837.7305666605632
Llama-2-7B-4bit,30,semantic,0.3333333333333333,0.6666666666666667,1847.986380259196
Llama-2-7B-4bit,40,semantic,1.0,0.0,1849.9374389648438
Llama-2-7B-4bit,50,semantic,1.0,0.0,1835.8722527821858
